,每日PnL,净值,资金占用比例,杠杆倍数
2017-10-25,5290.000000000007,1.27333,0.053556462189691595,0.974215
2017-10-26,5835.0,1.279165,0.05412890440248131,0.98914
2017-10-27,3859.999999999993,1.283025,0.05367798756844177,0.98386
2017-10-30,-6965.0,1.2760600000000002,0.053950402018713865,0.983485
2017-10-31,500.0,1.2765600000000001,0.05405018173842202,0.98569
2017-11-01,5925.000000000014,1.282485,0.055582014604459315,1.01833
2017-11-02,8210.0,1.2906950000000001,0.056350570816498094,1.03902
2017-11-03,-9899.999999999985,1.2807950000000001,0.05689872305872525,1.04108
2017-11-06,6989.999999999985,1.2877850000000002,0.05780475778177258,1.06343
2017-11-07,5170.0,1.292955,0.05810256350762402,1.0732
2017-11-08,2110.0,1.2950650000000001,0.05625555474049566,1.04078
2017-11-09,2780.0,1.2978450000000001,0.05464751183692968,1.0132
2017-11-10,9720.0,1.307565,0.054260553012660945,1.01356
2017-11-13,-5564.999999999986,1.302,0.05442016129032258,1.012215
2017-11-14,3925.0000000000146,1.3059250000000002,0.05481754312077647,1.02268
2017-11-15,-5885.0,1.30004,0.05056105965970278,0.93902
2017-11-16,1815.0,1.3018550000000002,0.050238121757031316,0.934325
2017-11-17,-4494.999999999986,1.29736,0.05221295554048221,0.9677
2017-11-20,6224.999999999986,1.303585,0.051651369109033944,0.961885
2017-11-21,2745.0,1.30633,0.052554790902758115,0.98077
2017-11-22,2345.0000000000273,1.308675,0.055156207614571996,1.031165
2017-11-23,509.9999999999727,1.309185,0.05480455397823837,1.02499
2017-11-24,-8879.999999999985,1.300305,0.05451505608299592,1.01266
2017-11-27,-2990.0,1.2973150000000002,0.053636549334587204,0.99405
2017-11-28,4860.0,1.302175,0.05374492675715631,0.99979
2017-11-29,-1070.0,1.3011050000000002,0.05468597845677328,1.01646
2017-11-30,-6660.0,1.294445,0.05549513498062877,1.02622
2017-12-01,-2130.0,1.292315,0.05637851452625715,1.04084
2017-12-04,11225.0,1.3035400000000001,0.05679196649124692,1.05758
2017-12-05,7505.0,1.311045,0.056271714548318336,1.053925
2017-12-06,-8420.0,1.3026250000000001,0.05631194703003551,1.047905
2017-12-07,18385.0,1.3210100000000002,0.05357423486574667,1.01103
2017-12-08,-7885.0,1.313125,0.05516919562113281,1.034915
2017-12-11,-18860.0,1.2942650000000002,0.055578301197977235,1.027615
2017-12-12,3060.0,1.297325,0.05386734241612549,0.998335
2017-12-13,-1755.0,1.29557,0.053499154812167625,0.99017
2017-12-14,240.0,1.2958100000000001,0.051433775013312144,0.95212
2017-12-15,5535.0,1.3013450000000002,0.052752613642039585,0.980705
2017-12-18,8819.99999999999,1.310165,0.05123274549388818,0.958905
2017-12-19,-4020.0000000000045,1.3061450000000001,0.051744140198829384,0.965505
2017-12-20,2815.0,1.3089600000000001,0.05322301674611907,0.99524
2017-12-21,8350.0,1.31731,0.05255672544807221,0.98905
2017-12-22,8135.0,1.3254450000000002,0.051523827846496846,0.9756
2017-12-25,-13830.0,1.3116150000000002,0.05343763223201931,1.00128
2017-12-26,-2315.0,1.3093000000000001,0.05326132284426793,0.996215
2017-12-27,-6880.0,1.3024200000000001,0.055251800494464154,1.028015
2017-12-28,960.0,1.3033800000000002,0.05334453497828723,0.99326
2017-12-29,515.0,1.3038950000000002,0.05562253862465919,1.036085
2018-01-02,-2665.0000000000136,1.30123,0.05591048469524989,1.03932
2018-01-03,2925.0000000000273,1.3041550000000002,0.055085975210001886,1.026295
2018-01-04,7159.999999999999,1.311315,0.05504996892432406,1.031255
2018-01-05,-4190.0,1.307125,0.055004188581811234,1.027105
2018-01-08,11185.0,1.31831,0.05505654967344555,1.03688
2018-01-09,-5735.0,1.312575,0.05615065805763481,1.052885
2018-01-10,-9165.0,1.3034100000000002,0.056159075041621605,1.04569
2018-01-11,1605.0,1.305015,0.05403857426926128,1.007445
2018-01-12,-8810.0,1.296205,0.05412450191134891,1.002235
2018-01-15,-7795.0,1.28841,0.05565157830193805,1.024315
2018-01-16,-4370.0,1.28404,0.0544448381670353,0.998705
2018-01-17,-370.0,1.28367,0.053751353541019106,0.9857
2018-01-18,-1625.0,1.282045,0.05386562094154262,0.986545
2018-01-19,30.0,1.282075,0.05410623403467036,0.990975
2018-01-22,-2285.0,1.2797900000000002,0.05535994186546231,1.01213
2018-01-23,1830.0,1.2816200000000002,0.05503866200589879,1.007695
2018-01-24,-7225.0,1.2743950000000002,0.055711298302331694,1.01426
2018-01-25,6520.0,1.2809150000000002,0.056323955922133795,1.03066
2018-01-26,-5449.999999999991,1.275465,0.05260873485356322,0.95858
2018-01-29,-580.0,1.274885,0.05630594132019751,1.02548
2018-01-30,1254.999999999991,1.27614,0.05210505900606517,0.949905
2018-01-31,-3089.9999999999955,1.27305,0.052137504418522454,0.948195
2018-02-01,6005.000000000005,1.279055,0.051461195961080654,0.94031
2018-02-02,1809.9999999999955,1.2808650000000001,0.05110046726235786,0.93504
2018-02-05,6245.000000000015,1.2871100000000002,0.052512916533940385,0.96557
2018-02-06,3484.9999999999864,1.2905950000000002,0.05124322502411678,0.944775
2018-02-07,-6359.999999999991,1.2842350000000002,0.05543159935681555,1.01696
2018-02-08,1964.999999999991,1.2862,0.0549526123464469,1.009715
