dt,sm cfr
2016/9/2,1045.0
2016/9/5,1050.0
2016/9/6,1045.0
2016/9/7,1040.0
2016/9/8,1043.5
2016/9/9,1041.0
2016/9/12,1040.0
2016/9/13,1032.5
2016/9/14,1025.0
2016/9/15,1025.0
2016/9/16,1025.0
2016/9/19,1020.0
2016/9/20,1020.0
2016/9/21,1015.0
2016/9/22,1016.5
2016/9/23,1010.0
2016/9/26,992.5
2016/9/27,992.5
2016/9/28,985.0
2016/9/29,992.5
2016/9/30,995.0
2016/10/3,995.0
2016/10/4,995.0
2016/10/5,995.0
2016/10/6,995.0
2016/10/7,995.0
2016/10/10,1000.0
2016/10/11,1005.0
2016/10/12,1000.0
2016/10/13,1005.0
2016/10/14,1020.0
2016/10/17,1020.0
2016/10/18,1020.0
2016/10/19,1035.0
2016/10/20,1032.5
2016/10/21,1037.5
2016/10/24,1035.0
2016/10/25,1055.0
2016/10/26,1065.0
2016/10/27,1064.0
2016/10/28,1052.5
2016/10/31,1055.0
2016/11/1,1055.0
2016/11/2,1070.0
2016/11/3,1105.0
2016/11/4,1110.0
2016/11/7,1112.5
2016/11/8,1112.5
2016/11/9,1130.0
2016/11/10,1170.0
2016/11/11,1200.0
2016/11/14,1167.5
2016/11/15,1132.5
2016/11/16,1150.0
2016/11/17,1172.5
2016/11/18,1180.0
2016/11/21,1192.5
2016/11/22,1210.0
2016/11/23,1200.0
2016/11/24,1170.0
2016/11/25,1155.0
2016/11/28,1162.5
2016/11/29,1155.0
2016/11/30,1170.0
2016/12/1,1182.5
2016/12/2,1187.5
2016/12/5,1197.5
2016/12/6,1200.0
2016/12/7,1232.5
2016/12/8,1260.0
2016/12/9,1265.0
2016/12/12,1285.0
2016/12/13,1270.0
2016/12/14,1260.0
2016/12/15,1245.0
2016/12/16,1235.0
2016/12/19,1200.0
2016/12/20,1200.0
2016/12/21,1212.5
2016/12/22,1215.0
2016/12/23,1214.0
2016/12/26,1210.0
2016/12/27,1190.0
2016/12/28,1190.0
2016/12/29,1190.0
2016/12/30,1190.0
2017/1/2,1190.0
2017/1/3,1190.0
2017/1/4,1192.5
2017/1/5,1225.0
2017/1/6,1260.0
2017/1/9,1245.0
2017/1/10,1267.5
2017/1/11,1272.5
2017/1/12,1285.0
2017/1/13,1285.0
2017/1/16,1307.5
2017/1/17,1297.5
2017/1/18,1315.0
2017/1/19,1340.0
2017/1/20,1347.5
2017/1/23,1347.5
2017/1/24,1365.0
2017/1/25,1377.5
2017/1/26,1412.5
2017/1/27,1412.5
2017/1/30,1412.5
2017/1/31,1412.5
2017/2/1,1412.5
2017/2/2,1412.5
2017/2/3,1555.0
2017/2/6,1510.0
2017/2/7,1480.0
2017/2/8,1430.0
2017/2/9,1450.0
2017/2/10,1490.0
2017/2/13,1520.0
2017/2/14,1520.0
2017/2/15,1517.5
2017/2/16,1500.0
2017/2/17,1450.0
2017/2/20,1447.5
2017/2/21,1407.5
2017/2/22,1377.5
2017/2/23,1387.5
2017/2/24,1415.0
2017/2/27,1415.0
2017/2/28,1355.0
2017/3/1,1355.0
2017/3/2,1380.0
2017/3/3,1380.0
2017/3/6,1395.0
2017/3/7,1360.0
2017/3/8,1292.5
2017/3/9,1270.0
2017/3/10,1265.0
2017/3/13,1257.5
2017/3/14,1275.0
2017/3/15,1290.0
2017/3/16,1295.0
2017/3/17,1300.0
2017/3/20,1290.0
2017/3/21,1267.5
2017/3/22,1215.0
2017/3/23,1165.0
2017/3/24,1160.0
2017/3/27,1150.0
2017/3/28,1162.5
2017/3/29,1190.0
2017/3/30,1175.0
2017/3/31,1200.0
2017/4/3,1200.0
2017/4/4,1200.0
2017/4/5,1227.5
2017/4/6,1207.5
2017/4/7,1190.0
2017/4/10,1192.5
2017/4/11,1202.5
2017/4/12,1202.5
2017/4/13,1190.0
2017/4/14,1190.0
2017/4/17,1140.0
2017/4/18,1095.0
2017/4/19,1125.0
2017/4/20,1140.0
2017/4/21,1130.0
2017/4/24,1100.0
2017/4/25,1112.5
2017/4/26,1092.5
2017/4/27,1087.5
2017/4/28,1092.5
2017/5/1,1092.5
2017/5/2,1065.0
2017/5/3,1075.0
2017/5/4,1067.5
2017/5/5,1035.0
2017/5/8,1022.5
2017/5/9,1015.0
2017/5/10,1015.0
2017/5/11,1025.0
2017/5/12,1032.5
2017/5/15,1060.0
2017/5/16,1105.0
2017/5/17,1097.5
2017/5/18,1097.5
2017/5/19,1145.0
2017/5/22,1125.0
2017/5/23,1085.0
2017/5/24,1105.0
2017/5/25,1095.0
2017/5/26,1112.5
2017/5/29,1112.5
2017/5/30,1112.5
2017/5/31,1115.0
2017/6/1,1120.0
2017/6/2,1102.5
2017/6/5,1112.5
2017/6/6,1117.5
2017/6/7,1130.0
2017/6/8,1135.0
2017/6/9,1130.0
2017/6/12,1147.5
2017/6/13,1152.5
2017/6/14,1167.5
2017/6/15,1160.0
2017/6/16,1145.0
2017/6/19,1120.0
2017/6/20,1127.5
2017/6/21,1127.5
2017/6/22,1105.0
2017/6/23,1105.0
2017/6/26,1105.0
2017/6/27,1135.0
2017/6/28,1130.0
2017/6/29,1152.5
2017/6/30,1145.0
2017/7/3,1152.5
2017/7/4,1150.0
2017/7/5,1152.5
2017/7/6,1145.0
2017/7/7,1145.0
2017/7/10,1180.0
2017/7/11,1190.0
2017/7/12,1207.5
2017/7/13,1197.5
