dt,NHGF rmb
2016/1/5,342.0
2016/1/6,337.0
2016/1/7,337.0
2016/1/8,335.0
2016/1/11,335.0
2016/1/12,333.0
2016/1/13,330.0
2016/1/14,320.0
2016/1/15,320.0
2016/1/18,320.0
2016/1/19,330.0
2016/1/20,330.0
2016/1/21,330.0
2016/1/22,325.0
2016/1/25,330.0
2016/1/26,330.0
2016/1/27,330.0
2016/1/28,330.0
2016/1/29,330.0
2016/2/1,330.0
2016/2/2,330.0
2016/2/3,330.0
2016/2/4,340.0
2016/2/5,340.0
2016/2/15,345.0
2016/2/16,350.0
2016/2/17,355.0
2016/2/18,355.0
2016/2/19,360.0
2016/2/22,380.0
2016/2/23,385.0
2016/2/24,380.0
2016/2/25,380.0
2016/2/26,370.0
2016/2/29,365.0
2016/3/1,375.0
2016/3/2,385.0
2016/3/3,390.0
2016/3/4,390.0
2016/3/7,490.0
2016/3/8,500.0
2016/3/9,480.0
2016/3/10,460.0
2016/3/11,450.0
2016/3/14,445.0
2016/3/15,420.0
2016/3/16,415.0
2016/3/17,425.0
2016/3/18,430.0
2016/3/21,440.0
2016/3/22,440.0
2016/3/23,435.0
2016/3/24,430.0
2016/3/25,415.0
2016/3/28,420.0
2016/3/29,410.0
2016/3/30,410.0
2016/3/31,410.0
2016/4/1,415.0
2016/4/5,425.0
2016/4/6,420.0
2016/4/7,420.0
2016/4/8,420.0
2016/4/11,430.0
2016/4/12,445.0
2016/4/13,460.0
2016/4/14,460.0
2016/4/15,450.0
2016/4/18,460.0
2016/4/19,475.0
2016/4/20,490.0
2016/4/21,510.0
2016/4/22,520.0
2016/4/25,510.0
2016/4/26,500.0
2016/4/27,480.0
2016/4/28,500.0
2016/4/29,515.0
2016/5/3,510.0
2016/5/4,485.0
2016/5/5,475.0
2016/5/6,470.0
2016/5/9,450.0
2016/5/10,440.0
2016/5/11,440.0
2016/5/12,440.0
2016/5/13,425.0
2016/5/16,415.0
2016/5/17,425.0
2016/5/18,425.0
2016/5/19,415.0
2016/5/20,415.0
2016/5/23,400.0
2016/5/24,385.0
2016/5/25,385.0
2016/5/26,375.0
2016/5/27,380.0
2016/5/30,380.0
2016/5/31,370.0
2016/6/1,370.0
2016/6/2,370.0
2016/6/3,370.0
2016/6/6,380.0
2016/6/7,385.0
2016/6/8,385.0
2016/6/13,390.0
2016/6/14,385.0
2016/6/15,385.0
2016/6/16,390.0
2016/6/17,390.0
2016/6/20,390.0
2016/6/21,385.0
2016/6/22,390.0
2016/6/23,395.0
2016/6/24,395.0
2016/6/27,415.0
2016/6/28,420.0
2016/6/29,420.0
2016/6/30,425.0
2016/7/1,425.0
2016/7/4,430.0
2016/7/5,430.0
2016/7/6,430.0
2016/7/7,440.0
2016/7/8,440.0
2016/7/11,440.0
2016/7/12,450.0
2016/7/13,460.0
2016/7/14,455.0
2016/7/15,450.0
2016/7/18,440.0
2016/7/19,435.0
2016/7/20,425.0
2016/7/21,440.0
2016/7/22,435.0
2016/7/25,440.0
2016/7/26,450.0
2016/7/27,455.0
2016/7/28,460.0
2016/7/29,460.0
2016/8/1,470.0
2016/8/2,470.0
2016/8/3,470.0
2016/8/4,460.0
2016/8/5,465.0
2016/8/8,470.0
2016/8/9,470.0
2016/8/10,470.0
2016/8/11,460.0
2016/8/12,458.0
2016/8/15,458.0
2016/8/16,460.0
2016/8/17,460.0
2016/8/18,460.0
2016/8/19,460.0
2016/8/22,465.0
2016/8/23,465.0
2016/8/24,465.0
2016/8/25,460.0
2016/8/26,460.0
2016/8/29,460.0
2016/8/30,455.0
2016/8/31,455.0
2016/9/1,455.0
2016/9/2,460.0
2016/9/5,460.0
2016/9/6,460.0
2016/9/7,455.0
2016/9/8,455.0
2016/9/9,455.0
2016/9/12,450.0
2016/9/13,450.0
2016/9/14,450.0
2016/9/19,450.0
2016/9/20,455.0
2016/9/21,455.0
2016/9/22,460.0
2016/9/23,460.0
2016/9/26,465.0
2016/9/27,465.0
2016/9/28,465.0
2016/9/29,470.0
2016/9/30,465.0
2016/10/10,465.0
2016/10/11,470.0
2016/10/12,475.0
2016/10/13,475.0
2016/10/14,475.0
2016/10/17,480.0
2016/10/18,480.0
2016/10/19,480.0
2016/10/20,480.0
2016/10/21,480.0
2016/10/24,485.0
2016/10/25,490.0
2016/10/26,490.0
2016/10/27,490.0
2016/10/28,505.0
2016/10/31,510.0
2016/11/1,515.0
2016/11/2,515.0
2016/11/3,520.0
2016/11/4,520.0
2016/11/7,530.0
2016/11/8,545.0
2016/11/9,575.0
2016/11/10,605.0
2016/11/11,630.0
2016/11/14,630.0
2016/11/15,630.0
2016/11/16,620.0
2016/11/17,615.0
2016/11/18,610.0
2016/11/21,610.0
2016/11/22,630.0
2016/11/23,640.0
2016/11/24,650.0
2016/11/25,660.0
2016/11/28,675.0
2016/11/29,670.0
2016/11/30,655.0
2016/12/1,660.0
2016/12/2,660.0
2016/12/5,660.0
