dt,bu cfr
2017/6/30,280.0
2017/7/3,280.0
2017/7/4,280.0
2017/7/5,272.5
2017/7/6,272.5
2017/7/7,272.5
2017/7/10,272.5
2017/7/11,280.0
2017/7/12,280.0
2017/7/13,280.0
2017/7/14,280.0
2017/7/17,290.0
2017/7/18,290.0
2017/7/19,290.0
2017/7/20,290.0
2017/7/21,300.0
2017/7/24,300.0
2017/7/25,300.0
2017/7/26,300.0
2017/7/27,300.0
2017/7/28,300.0
2017/7/31,300.0
2017/8/1,302.5
2017/8/2,302.5
2017/8/3,302.5
2017/8/4,302.5
2017/8/7,302.5
2017/8/8,302.5
2017/8/9,302.5
2017/8/10,302.5
2017/8/11,302.5
2017/8/14,302.5
2017/8/15,302.5
2017/8/16,302.5
2017/8/17,302.5
2017/8/18,302.5
2017/8/21,302.5
2017/8/22,302.5
2017/8/23,302.5
2017/8/24,315.0
2017/8/25,315.0
2017/8/28,315.0
2017/8/29,315.0
2017/8/30,315.0
2017/8/31,315.0
2017/9/1,315.0
2017/9/4,315.0
2017/9/5,315.0
2017/9/6,315.0
2017/9/7,315.0
2017/9/8,315.0
2017/9/11,315.0
2017/9/12,315.0
2017/9/13,315.0
2017/9/14,315.0
2017/9/15,315.0
2017/9/18,315.0
2017/9/19,315.0
2017/9/20,315.0
2017/9/21,315.0
2017/9/22,315.0
2017/9/25,315.0
2017/9/26,315.0
2017/9/27,315.0
2017/9/28,315.0
2017/9/29,315.0
2017/10/2,315.0
2017/10/3,315.0
2017/10/4,315.0
2017/10/5,315.0
2017/10/6,315.0
2017/10/9,300.0
2017/10/10,300.0
2017/10/11,300.0
2017/10/12,300.0
2017/10/13,300.0
2017/10/16,300.0
2017/10/17,300.0
2017/10/18,300.0
2017/10/19,300.0
2017/10/20,300.0
2017/10/23,300.0
2017/10/24,300.0
2017/10/25,300.0
2017/10/26,300.0
2017/10/27,300.0
2017/10/30,300.0
2017/10/31,300.0
2017/11/1,290.0
2017/11/2,290.0
2017/11/3,290.0
2017/11/6,290.0
2017/11/7,290.0
2017/11/8,290.0
2017/11/9,290.0
2017/11/10,290.0
2017/11/13,290.0
2017/11/14,290.0
2017/11/15,290.0
2017/11/16,290.0
2017/11/17,290.0
2017/11/20,290.0
2017/11/21,290.0
2017/11/22,290.0
2017/11/23,290.0
2017/11/24,310.0
2017/11/27,310.0
2017/11/28,310.0
2017/11/29,310.0
2017/11/30,310.0
2017/12/1,310.0
2017/12/4,310.0
2017/12/5,310.0
2017/12/6,310.0
2017/12/7,310.0
2017/12/8,310.0
2017/12/11,310.0
2017/12/12,310.0
2017/12/13,310.0
2017/12/14,310.0
2017/12/15,310.0
2017/12/18,310.0
2017/12/19,310.0
2017/12/20,310.0
2017/12/21,310.0
2017/12/22,310.0
2017/12/25,310.0
2017/12/26,310.0
2017/12/27,310.0
2017/12/28,310.0
2017/12/29,310.0
2018/1/1,313.5
2018/1/2,313.5
2018/1/3,313.5
2018/1/4,313.5
2018/1/5,313.5
2018/1/8,313.5
2018/1/9,313.5
2018/1/10,313.5
