dt,meg cfr
2016/2/29,678.0
2016/3/1,687.0
2016/3/2,686.0
2016/3/3,685.0
2016/3/4,695.0
2016/3/7,739.0
2016/3/8,730.0
2016/3/9,734.0
2016/3/10,713.0
2016/3/11,698.0
2016/3/14,689.0
2016/3/15,672.0
2016/3/16,679.0
2016/3/17,721.0
2016/3/18,717.0
2016/3/21,703.0
2016/3/22,692.0
2016/3/23,692.0
2016/3/24,703.0
2016/3/28,713.0
2016/3/29,704.0
2016/3/30,702.0
2016/3/31,694.0
2016/4/1,697.0
2016/4/5,689.0
2016/4/6,677.0
2016/4/7,665.0
2016/4/8,649.0
2016/4/11,652.0
2016/4/12,646.0
2016/4/13,658.0
2016/4/14,658.0
2016/4/15,663.0
2016/4/18,656.0
2016/4/19,657.0
2016/4/20,660.0
2016/4/21,672.0
2016/4/22,676.0
2016/4/25,660.0
2016/4/26,650.0
2016/4/27,647.0
2016/4/28,648.0
2016/4/29,651.0
2016/5/3,653.0
2016/5/4,645.0
2016/5/5,643.0
2016/5/6,635.0
2016/5/9,622.0
2016/5/10,619.0
2016/5/11,618.0
2016/5/12,624.0
2016/5/13,619.0
2016/5/16,621.0
2016/5/17,624.0
2016/5/18,618.0
2016/5/19,613.0
2016/5/20,617.0
2016/5/23,613.0
2016/5/24,605.0
2016/5/25,600.0
2016/5/26,602.0
2016/5/27,613.0
2016/5/31,612.0
2016/6/1,602.0
2016/6/2,609.0
2016/6/3,609.0
2016/6/6,606.0
2016/6/7,610.0
2016/6/8,612.0
2016/6/9,612.0
2016/6/10,612.0
2016/6/13,610.0
2016/6/14,606.0
2016/6/15,600.0
2016/6/16,604.0
2016/6/17,604.0
2016/6/20,605.0
2016/6/21,609.0
2016/6/22,610.0
2016/6/23,620.0
2016/6/24,619.0
2016/6/27,624.0
2016/6/28,636.0
2016/6/29,636.0
2016/6/30,630.0
2016/7/1,631.0
2016/7/5,642.0
2016/7/6,626.0
2016/7/7,629.0
2016/7/8,621.0
2016/7/11,626.0
2016/7/12,627.0
2016/7/13,628.0
2016/7/14,628.0
2016/7/15,627.0
2016/7/18,618.0
2016/7/19,615.0
2016/7/20,613.0
2016/7/21,617.0
2016/7/22,617.0
2016/7/25,613.0
2016/7/26,612.0
2016/7/27,614.0
2016/7/28,621.0
2016/7/29,617.0
2016/8/1,617.0
2016/8/2,612.0
2016/8/3,603.0
2016/8/4,604.0
2016/8/5,607.0
2016/8/8,612.0
2016/8/9,610.0
2016/8/10,612.0
2016/8/11,614.0
2016/8/12,613.0
2016/8/15,612.0
2016/8/16,613.0
2016/8/17,617.0
2016/8/18,622.0
2016/8/19,626.0
2016/8/22,613.0
2016/8/23,615.0
2016/8/24,620.0
2016/8/25,621.0
2016/8/26,634.0
2016/8/29,646.0
2016/8/30,654.0
2016/8/31,654.0
2016/9/1,656.0
2016/9/2,668.0
2016/9/6,664.0
2016/9/7,663.0
2016/9/8,663.0
2016/9/9,645.0
2016/9/12,638.0
2016/9/13,635.0
2016/9/14,632.0
2016/9/19,628.0
2016/9/20,629.0
2016/9/21,632.0
2016/9/22,628.0
2016/9/23,618.0
2016/9/26,619.0
2016/9/27,616.0
2016/9/28,616.0
2016/9/29,629.0
2016/9/30,625.0
2016/10/10,640.0
2016/10/11,642.0
2016/10/12,635.0
2016/10/13,627.0
2016/10/14,633.0
2016/10/17,640.0
2016/10/18,639.0
2016/10/19,641.0
2016/10/20,645.0
2016/10/21,647.0
2016/10/24,663.0
2016/10/25,670.0
2016/10/26,664.0
2016/10/27,662.0
2016/10/28,673.0
2016/10/31,687.0
2016/11/1,691.0
2016/11/2,681.0
2016/11/3,687.0
2016/11/4,693.0
2016/11/7,691.0
2016/11/8,691.0
2016/11/9,715.0
2016/11/10,736.0
2016/11/11,752.0
2016/11/14,715.0
2016/11/15,711.0
2016/11/16,708.0
2016/11/17,724.0
2016/11/18,731.0
2016/11/21,746.0
2016/11/22,745.0
2016/11/23,735.0
2016/11/25,730.0
2016/11/28,737.0
2016/11/29,733.0
2016/11/30,730.0
2016/12/1,745.0
2016/12/2,754.0
2016/12/5,785.0
2016/12/6,797.0
2016/12/7,831.0
2016/12/8,835.0
2016/12/9,843.0
2016/12/12,893.0
2016/12/13,893.0
2016/12/14,877.0
2016/12/15,875.0
2016/12/16,894.0
2016/12/19,851.0
2016/12/20,840.0
2016/12/21,852.0
2016/12/22,859.0
2016/12/23,852.0
2016/12/27,903.0
2016/12/28,906.0
2016/12/29,909.0
2016/12/30,950.0
2017/1/3,940.5
2017/1/4,923.0
2017/1/5,917.5
2017/1/6,902.0
2017/1/9,898.0
2017/1/10,907.0
2017/1/11,902.5
2017/1/12,906.5
2017/1/13,912.5
2017/1/17,925.5
2017/1/18,920.0
2017/1/19,919.0
2017/1/20,921.0
2017/1/23,945.0
2017/1/24,953.5
2017/1/25,959.0
2017/1/26,955.0
2017/1/27,955.0
2017/1/31,955.0
2017/2/1,955.0
2017/2/2,955.0
2017/2/3,960.0
