dt,hd rmb
2017/8/2,9350.0
2017/8/3,9350.0
2017/8/4,9300.0
2017/8/7,9150.0
2017/8/8,9300.0
2017/8/9,9350.0
2017/8/10,9350.0
2017/8/11,9400.0
2017/8/14,9350.0
2017/8/15,9350.0
2017/8/16,9300.0
2017/8/17,9350.0
2017/8/18,9350.0
2017/8/21,9400.0
2017/8/22,9400.0
2017/8/23,9450.0
2017/8/24,9550.0
2017/8/25,9650.0
2017/8/28,9600.0
2017/8/29,9650.0
2017/8/30,9700.0
2017/8/31,9850.0
2017/9/1,9950.0
2017/9/4,10000.0
2017/9/5,10100.0
2017/9/6,10100.0
2017/9/7,10100.0
2017/9/8,10100.0
2017/9/11,9950.0
2017/9/12,10000.0
2017/9/13,9900.0
2017/9/14,10100.0
2017/9/15,10100.0
2017/9/18,9800.0
2017/9/19,9800.0
2017/9/20,9800.0
2017/9/21,9800.0
2017/9/22,9750.0
2017/9/25,9700.0
2017/9/26,9800.0
2017/9/27,9850.0
2017/9/28,9700.0
2017/9/29,9800.0
2017/10/9,9750.0
2017/10/10,9750.0
2017/10/11,9750.0
2017/10/12,9750.0
2017/10/13,9780.0
2017/10/16,9850.0
2017/10/17,9850.0
