date,PP_feibiao
2019/10/23,300
2019/10/24,330
2019/10/25,390
2019/10/28,350
2019/10/29,350
2019/10/30,350
2019/10/31,380
2019/11/1,380
2019/11/4,340
2019/11/5,320
2019/11/6,380
2019/11/7,400
2019/11/8,380
2019/11/11,350
2019/11/12,500
2019/11/13,500
2019/11/14,580
2019/11/15,550
2019/11/18,550
2019/11/19,550
2019/11/20,550
2019/11/21,550
2019/11/22,550
2019/11/25,550
2019/11/26,550
2019/11/27,550
2019/11/28,550
2019/11/29,550
2019/12/2,770
2019/12/3,870
2019/12/4,960
2019/12/5,970
2019/12/6,930
2019/12/9,900
2019/12/10,930
2019/12/11,1000
2019/12/12,1000
2019/12/13,1000
2019/12/16,1000
2019/12/17,1000
2019/12/18,1030
2019/12/19,1020
2019/12/20,1020
2019/12/23,1000
2019/12/24,1000
2019/12/25,980
2019/12/26,980
2019/12/27,850
2019/12/30,950
2019/12/31,950
2020/1/2,900
2020/1/3,850
2020/1/6,800
2020/1/7,850
2020/1/8,780
2020/1/9,780
2020/1/10,750
2020/1/13,780
2020/1/14,730
2020/1/15,720
2020/1/16,700
2020/1/17,700
2020/1/20,650
2020/1/21,650
2020/1/22,600
2020/1/23,650
2020/2/3,700
2020/2/4,650
2020/2/5,700
2020/2/6,750
2020/2/7,850
2020/2/10,900
2020/2/11,900
2020/2/12,800
2020/2/13,750
2020/2/14,700
2020/2/17,650
2020/2/18,500
2020/2/19,500
2020/2/20,500
2020/2/21,620
2020/2/24,650
2020/2/25,650
2020/2/26,650
2020/2/27,720
2020/2/28,770
2020/3/2,770
2020/3/3,770
2020/3/4,770
2020/3/5,770
2020/3/6,650
2020/3/9,680
2020/3/10,800
2020/3/11,800
2020/3/12,800
2020/3/13,800
2020/3/16,750
2020/3/17,850
2020/3/18,850
2020/3/19,850
2020/3/20,650
2020/3/23,650
2020/3/24,650
2020/3/25,620
2020/3/26,700
2020/3/27,700
