date,L_feibiao
2020/1/20,-100
2020/1/21,-100
2020/1/22,-50
2020/1/23,-50
2020/2/3,460
2020/2/4,300
2020/2/5,250
2020/2/6,250
2020/2/7,400
2020/2/10,300
2020/2/11,400
2020/2/12,400
2020/2/13,400
2020/2/14,400
2020/2/17,450
2020/2/18,400
2020/2/19,250
2020/2/20,250
2020/2/21,350
2020/2/24,450
2020/2/25,450
2020/2/26,450
2020/2/27,520
2020/2/28,400
2020/3/2,400
2020/3/3,400
2020/3/4,400
2020/3/5,400
2020/3/6,450
2020/3/9,650
2020/3/10,600
2020/3/11,600
2020/3/12,600
2020/3/13,600
2020/3/16,570
2020/3/17,900
2020/3/18,900
2020/3/19,900
2020/3/20,790
2020/3/23,850
2020/3/24,950
2020/3/25,1050
2020/3/26,1200
2020/3/27,1270
