date_time,open,high,low,close,volume,amount,position,date,time
2020-02-07 09:00:00,4520.0,4520.0,4520.0,4520.0,2.0,90400.0,165.0,2020-02-07,09:00:00
2020-02-07 09:02:00,4550.0,4550.0,4550.0,4550.0,1.0,45500.0,164.0,2020-02-07,09:02:00
2020-02-07 09:03:00,4552.0,4552.0,4551.0,4551.0,4.0,182050.0,166.0,2020-02-07,09:03:00
2020-02-07 09:04:00,4551.0,4551.0,4544.0,4544.0,8.0,364010.0,173.0,2020-02-07,09:04:00
2020-02-07 09:13:00,4540.0,4540.0,4540.0,4540.0,3.0,136200.0,174.0,2020-02-07,09:13:00
2020-02-07 09:14:00,4540.0,4540.0,4540.0,4540.0,1.0,45400.0,175.0,2020-02-07,09:14:00
2020-02-07 09:35:00,4557.0,4557.0,4557.0,4557.0,1.0,45570.0,174.0,2020-02-07,09:35:00
2020-02-07 09:41:00,4557.0,4557.0,4557.0,4557.0,1.0,45570.0,174.0,2020-02-07,09:41:00
2020-02-07 09:42:00,4558.0,4558.0,4558.0,4558.0,1.0,45580.0,175.0,2020-02-07,09:42:00
2020-02-07 09:48:00,4559.0,4560.0,4559.0,4560.0,2.0,91190.0,174.0,2020-02-07,09:48:00
2020-02-07 10:42:00,4560.0,4560.0,4560.0,4560.0,1.0,45600.0,173.0,2020-02-07,10:42:00
2020-02-07 10:43:00,4560.0,4560.0,4560.0,4560.0,1.0,45600.0,173.0,2020-02-07,10:43:00
2020-02-07 10:47:00,4560.0,4560.0,4560.0,4560.0,1.0,45600.0,173.0,2020-02-07,10:47:00
2020-02-07 11:07:00,4559.0,4559.0,4559.0,4559.0,1.0,45590.0,173.0,2020-02-07,11:07:00
2020-02-07 11:22:00,4560.0,4560.0,4560.0,4560.0,1.0,45600.0,172.0,2020-02-07,11:22:00
2020-02-07 11:26:00,4560.0,4560.0,4560.0,4560.0,1.0,45620.0,172.0,2020-02-07,11:26:00
2020-02-07 11:27:00,4560.0,4560.0,4560.0,4560.0,1.0,45600.0,173.0,2020-02-07,11:27:00
2020-02-07 13:30:00,4560.0,4560.0,4560.0,4560.0,8.0,364800.0,181.0,2020-02-07,13:30:00
2020-02-07 13:38:00,4555.0,4555.0,4555.0,4555.0,1.0,45550.0,180.0,2020-02-07,13:38:00
2020-02-07 13:40:00,4555.0,4555.0,4555.0,4555.0,1.0,45570.0,180.0,2020-02-07,13:40:00
2020-02-07 14:00:00,4564.0,4564.0,4564.0,4564.0,1.0,45640.0,181.0,2020-02-07,14:00:00
2020-02-07 14:01:00,4565.0,4566.0,4565.0,4566.0,9.0,410920.0,190.0,2020-02-07,14:01:00
2020-02-07 15:00:00,4566.0,4566.0,4566.0,4566.0,0.0,0.0,190.0,2020-02-07,15:00:00
2020-02-10 09:03:00,4559.0,4559.0,4559.0,4559.0,1.0,45590.0,191.0,2020-02-10,09:03:00
2020-02-10 09:06:00,4558.0,4558.0,4558.0,4558.0,1.0,45580.0,190.0,2020-02-10,09:06:00
2020-02-10 09:09:00,4570.0,4570.0,4570.0,4570.0,1.0,45700.0,191.0,2020-02-10,09:09:00
2020-02-10 09:12:00,4551.0,4551.0,4551.0,4551.0,1.0,45510.0,190.0,2020-02-10,09:12:00
2020-02-10 09:19:00,4562.0,4562.0,4562.0,4562.0,1.0,45620.0,191.0,2020-02-10,09:19:00
2020-02-10 09:26:00,4563.0,4563.0,4563.0,4563.0,1.0,45630.0,192.0,2020-02-10,09:26:00
2020-02-10 09:35:00,4562.0,4562.0,4562.0,4562.0,1.0,45620.0,193.0,2020-02-10,09:35:00
2020-02-10 09:40:00,4563.0,4563.0,4563.0,4563.0,1.0,45630.0,193.0,2020-02-10,09:40:00
2020-02-10 09:42:00,4554.0,4554.0,4554.0,4554.0,1.0,45540.0,192.0,2020-02-10,09:42:00
2020-02-10 09:54:00,4565.0,4565.0,4565.0,4565.0,16.0,730370.0,194.0,2020-02-10,09:54:00
2020-02-10 10:00:00,4565.0,4565.0,4557.0,4557.0,2.0,91220.0,194.0,2020-02-10,10:00:00
2020-02-10 10:11:00,4557.0,4557.0,4557.0,4557.0,1.0,45570.0,194.0,2020-02-10,10:11:00
2020-02-10 10:45:00,4557.0,4557.0,4557.0,4557.0,4.0,182280.0,194.0,2020-02-10,10:45:00
2020-02-10 10:49:00,4556.0,4556.0,4555.0,4555.0,4.0,182220.0,197.0,2020-02-10,10:49:00
2020-02-10 10:50:00,4555.0,4555.0,4555.0,4555.0,2.0,91100.0,199.0,2020-02-10,10:50:00
2020-02-10 10:51:00,4553.0,4553.0,4553.0,4553.0,1.0,45530.0,200.0,2020-02-10,10:51:00
2020-02-10 10:52:00,4553.0,4553.0,4553.0,4553.0,4.0,182120.0,204.0,2020-02-10,10:52:00
2020-02-10 10:58:00,4553.0,4553.0,4551.0,4551.0,2.0,91040.0,205.0,2020-02-10,10:58:00
2020-02-10 11:02:00,4562.0,4562.0,4562.0,4562.0,1.0,45620.0,206.0,2020-02-10,11:02:00
2020-02-10 11:11:00,4552.0,4552.0,4550.0,4550.0,3.0,136530.0,208.0,2020-02-10,11:11:00
2020-02-10 11:15:00,4549.0,4549.0,4548.0,4548.0,2.0,90970.0,210.0,2020-02-10,11:15:00
2020-02-10 11:16:00,4548.0,4548.0,4548.0,4548.0,1.0,45480.0,211.0,2020-02-10,11:16:00
2020-02-10 11:19:00,4545.0,4547.0,4545.0,4545.0,3.0,136370.0,214.0,2020-02-10,11:19:00
2020-02-10 11:20:00,4545.0,4545.0,4534.0,4534.0,13.0,589750.0,215.0,2020-02-10,11:20:00
2020-02-10 11:25:00,4550.0,4550.0,4550.0,4550.0,2.0,90990.0,217.0,2020-02-10,11:25:00
2020-02-10 13:33:00,4548.0,4548.0,4544.0,4544.0,3.0,136370.0,218.0,2020-02-10,13:33:00
2020-02-10 14:39:00,4544.0,4544.0,4544.0,4544.0,1.0,45440.0,219.0,2020-02-10,14:39:00
2020-02-10 14:51:00,4549.0,4549.0,4549.0,4549.0,1.0,45490.0,219.0,2020-02-10,14:51:00
2020-02-10 15:00:00,4549.0,4549.0,4549.0,4549.0,0.0,0.0,219.0,2020-02-10,15:00:00
