date,HIGH,OI,specific_contract,DEALNUM,VOLUME,SETTLE,LOW,date,CLOSE,OPEN,last_trade_date,contract_issue_date,switch_contract,remain_days
2019-01-11,2364.2,21761.0,IH1901.CFE,,22321.0,2353.6,2336.0,2019-01-11,2355.8,2346.6,2019-01-18,2018-11-19,False,7 days 00:00:00.000000000
2019-01-14,2354.2,18669.0,IH1901.CFE,,17403.0,2333.4,2331.0,2019-01-14,2332.8,2350.2,2019-01-18,2018-11-19,False,4 days 00:00:00.000000000
2019-01-15,2378.8,19798.0,IH1901.CFE,,23494.0,2374.2,2335.2,2019-01-15,2375.8,2337.4,2019-01-18,2018-11-19,False,3 days 00:00:00.000000000
2019-01-16,2383.4,14407.0,IH1901.CFE,,17058.0,2379.6,2363.0,2019-01-16,2380.2,2371.0,2019-01-18,2018-11-19,False,2 days 00:00:00.000000000
2019-01-17,2399.2,8709.0,IH1901.CFE,,14297.0,2378.8,2366.2,2019-01-17,2370.4,2384.8,2019-01-18,2018-11-19,False,1 days 00:00:00.000000000
2019-01-18,2412.6,0.0,IH1901.CFE,,8192.0,2411.37,2380.4,2019-01-18,2412.0,2384.4,2019-01-18,2018-11-19,False,0 days 00:00:00.000000000
2019-01-21,2446.2,18813.0,IH1902.CFE,,21143.0,2431.0,2414.4,2019-01-21,2434.0,2414.8,2019-02-15,2018-12-24,True,25 days 00:00:00.000000000
2019-01-22,2433.0,17848.0,IH1902.CFE,,18870.0,2403.0,2399.0,2019-01-22,2405.6,2432.8,2019-02-15,2018-12-24,False,24 days 00:00:00.000000000
2019-01-23,2419.6,18338.0,IH1902.CFE,,19222.0,2399.0,2394.0,2019-01-23,2396.4,2404.0,2019-02-15,2018-12-24,False,23 days 00:00:00.000000000
2019-01-24,2419.6,19522.0,IH1902.CFE,,22748.0,2414.4,2386.6,2019-01-24,2413.8,2403.0,2019-02-15,2018-12-24,False,22 days 00:00:00.000000000
2019-01-25,2455.8,19853.0,IH1902.CFE,,23140.0,2446.0,2420.4,2019-01-25,2441.0,2424.0,2019-02-15,2018-12-24,False,21 days 00:00:00.000000000
2019-01-28,2475.6,19304.0,IH1902.CFE,,20710.0,2438.4,2429.2,2019-01-28,2440.0,2456.8,2019-02-15,2018-12-24,False,18 days 00:00:00.000000000
2019-01-29,2465.2,21083.0,IH1902.CFE,,23753.0,2458.0,2429.4,2019-01-29,2458.8,2437.0,2019-02-15,2018-12-24,False,17 days 00:00:00.000000000
2019-01-30,2466.6,18986.0,IH1902.CFE,,19821.0,2454.2,2443.6,2019-01-30,2448.6,2448.2,2019-02-15,2018-12-24,False,16 days 00:00:00.000000000
2019-01-31,2488.8,20262.0,IH1902.CFE,,22476.0,2478.4,2455.8,2019-01-31,2486.8,2458.4,2019-02-15,2018-12-24,False,15 days 00:00:00.000000000
2019-02-01,2506.0,17025.0,IH1902.CFE,,21146.0,2499.8,2479.6,2019-02-01,2505.6,2502.0,2019-02-15,2018-12-24,False,14 days 00:00:00.000000000
2019-02-11,2527.4,17833.0,IH1902.CFE,,18677.0,2522.0,2485.6,2019-02-11,2522.0,2485.6,2019-02-15,2018-12-24,False,4 days 00:00:00.000000000
2019-02-12,2536.8,15764.0,IH1902.CFE,,17454.0,2530.2,2513.8,2019-02-12,2531.6,2522.6,2019-02-15,2018-12-24,False,3 days 00:00:00.000000000
2019-02-13,2593.4,14052.0,IH1902.CFE,,20582.0,2580.2,2526.2,2019-02-13,2581.8,2533.6,2019-02-15,2018-12-24,False,2 days 00:00:00.000000000
2019-02-14,2589.6,6872.0,IH1902.CFE,,13135.0,2581.6,2569.4,2019-02-14,2578.8,2578.8,2019-02-15,2018-12-24,False,1 days 00:00:00.000000000
2019-02-15,2573.0,0.0,IH1902.CFE,,6467.0,2528.25,2527.4,2019-02-15,2528.2,2570.4,2019-02-15,2018-12-24,False,0 days 00:00:00.000000000
2019-02-18,2588.0,26295.0,IH1903.CFE,,25712.0,2584.2,2546.0,2019-02-18,2585.0,2548.4,2019-03-15,2018-07-23,True,25 days 00:00:00.000000000
2019-02-19,2621.0,27879.0,IH1903.CFE,,32185.0,2579.6,2570.6,2019-02-19,2580.0,2588.4,2019-03-15,2018-07-23,False,24 days 00:00:00.000000000
2019-02-20,2604.8,25858.0,IH1903.CFE,,24976.0,2589.6,2575.2,2019-02-20,2591.4,2592.8,2019-03-15,2018-07-23,False,23 days 00:00:00.000000000
2019-02-21,2620.0,28479.0,IH1903.CFE,,31862.0,2582.4,2569.2,2019-02-21,2580.8,2586.6,2019-03-15,2018-07-23,False,22 days 00:00:00.000000000
2019-02-22,2635.0,27240.0,IH1903.CFE,,32914.0,2614.0,2559.4,2019-02-22,2635.0,2580.6,2019-03-15,2018-07-23,False,21 days 00:00:00.000000000
2019-02-25,2836.6,32130.0,IH1903.CFE,,48567.0,2789.8,2658.0,2019-02-25,2836.0,2661.0,2019-03-15,2018-07-23,False,18 days 00:00:00.000000000
2019-02-26,2825.4,30822.0,IH1903.CFE,,47723.0,2756.2,2732.0,2019-02-26,2749.0,2824.0,2019-03-15,2018-07-23,False,17 days 00:00:00.000000000
2019-02-27,2802.2,32233.0,IH1903.CFE,,45316.0,2749.6,2728.0,2019-02-27,2757.2,2757.8,2019-03-15,2018-07-23,False,16 days 00:00:00.000000000
2019-02-28,2780.0,30089.0,IH1903.CFE,,34242.0,2754.2,2745.2,2019-02-28,2753.8,2757.0,2019-03-15,2018-07-23,False,15 days 00:00:00.000000000
2019-03-01,2829.2,32962.0,IH1903.CFE,,42061.0,2807.2,2755.0,2019-03-01,2823.6,2775.6,2019-03-15,2018-07-23,False,14 days 00:00:00.000000000
2019-03-04,2920.0,35294.0,IH1903.CFE,,49756.0,2842.2,2818.4,2019-03-04,2834.2,2844.4,2019-03-15,2018-07-23,False,11 days 00:00:00.000000000
2019-03-05,2846.2,33253.0,IH1903.CFE,,37097.0,2834.0,2813.6,2019-03-05,2835.0,2839.0,2019-03-15,2018-07-23,False,10 days 00:00:00.000000000
2019-03-06,2859.0,34926.0,IH1903.CFE,,41321.0,2822.4,2795.8,2019-03-06,2838.2,2836.0,2019-03-15,2018-07-23,False,9 days 00:00:00.000000000
2019-03-07,2833.6,32725.0,IH1903.CFE,,43043.0,2802.2,2775.2,2019-03-07,2794.4,2833.6,2019-03-15,2018-07-23,False,8 days 00:00:00.000000000
2019-03-08,2759.6,32505.0,IH1903.CFE,,46161.0,2703.6,2686.2,2019-03-08,2691.6,2735.0,2019-03-15,2018-07-23,False,7 days 00:00:00.000000000
2019-03-11,2720.2,28764.0,IH1903.CFE,,36278.0,2702.8,2676.0,2019-03-11,2706.4,2701.0,2019-03-15,2018-07-23,False,4 days 00:00:00.000000000
2019-03-12,2764.0,26899.0,IH1903.CFE,,38667.0,2714.2,2701.0,2019-03-12,2718.0,2734.0,2019-03-15,2018-07-23,False,3 days 00:00:00.000000000
2019-03-13,2755.4,24549.0,IH1903.CFE,,40056.0,2731.8,2696.6,2019-03-13,2726.6,2729.4,2019-03-15,2018-07-23,False,2 days 00:00:00.000000000
2019-03-14,2758.6,14122.0,IH1903.CFE,,26633.0,2729.0,2717.8,2019-03-14,2728.4,2726.0,2019-03-15,2018-07-23,False,1 days 00:00:00.000000000
2019-03-15,2782.2,0.0,IH1903.CFE,,12849.0,2753.65,2734.8,2019-03-15,2753.2,2738.0,2019-03-15,2018-07-23,False,0 days 00:00:00.000000000
2019-03-18,2842.0,31020.0,IH1904.CFE,,37079.0,2830.8,2760.4,2019-03-18,2836.8,2777.2,2019-04-19,2019-02-18,True,32 days 00:00:00.000000000
2019-03-19,2856.0,30018.0,IH1904.CFE,,32857.0,2814.0,2806.6,2019-03-19,2812.6,2840.0,2019-04-19,2019-02-18,False,31 days 00:00:00.000000000
2019-03-20,2845.0,32376.0,IH1904.CFE,,39283.0,2819.6,2794.0,2019-03-20,2819.0,2805.0,2019-04-19,2019-02-18,False,30 days 00:00:00.000000000
2019-03-21,2833.2,31589.0,IH1904.CFE,,36077.0,2813.4,2803.6,2019-03-21,2804.0,2825.0,2019-04-19,2019-02-18,False,29 days 00:00:00.000000000
2019-03-22,2824.0,30625.0,IH1904.CFE,,34732.0,2798.8,2776.2,2019-03-22,2804.0,2810.0,2019-04-19,2019-02-18,False,28 days 00:00:00.000000000
2019-03-25,2772.2,31299.0,IH1904.CFE,,36500.0,2726.8,2713.8,2019-03-25,2717.2,2758.4,2019-04-19,2019-02-18,False,25 days 00:00:00.000000000
2019-03-26,2743.0,30401.0,IH1904.CFE,,31868.0,2706.4,2698.6,2019-03-26,2715.2,2741.0,2019-04-19,2019-02-18,False,24 days 00:00:00.000000000
2019-03-27,2755.0,29031.0,IH1904.CFE,,31188.0,2739.0,2721.2,2019-03-27,2739.0,2725.2,2019-04-19,2019-02-18,False,23 days 00:00:00.000000000
2019-03-28,2744.4,28871.0,IH1904.CFE,,30270.0,2737.0,2707.2,2019-03-28,2738.2,2722.0,2019-04-19,2019-02-18,False,22 days 00:00:00.000000000
2019-03-29,2854.2,30649.0,IH1904.CFE,,38056.0,2842.2,2747.0,2019-03-29,2839.2,2751.0,2019-04-19,2019-02-18,False,21 days 00:00:00.000000000
2019-04-01,2920.4,29738.0,IH1904.CFE,,35457.0,2894.6,2867.8,2019-04-01,2894.0,2868.0,2019-04-19,2019-02-18,False,18 days 00:00:00.000000000
2019-04-02,2910.6,28009.0,IH1904.CFE,,25873.0,2890.4,2883.0,2019-04-02,2894.6,2898.0,2019-04-19,2019-02-18,False,17 days 00:00:00.000000000
