日期,华北电石法 SG5
2015-03-19,5050.0
2015-03-20,5050.0
2015-03-23,5100.0
2015-03-24,5200.0
2015-03-25,5200.0
2015-03-26,5200.0
2015-03-27,5200.0
2015-03-30,5300.0
2015-03-31,5400.0
2015-04-01,5400.0
2015-04-02,5400.0
2015-04-03,5600.0
2015-04-07,5650.0
2015-04-08,5750.0
2015-04-09,5750.0
2015-04-10,5750.0
2015-04-13,5750.0
2015-04-14,5750.0
2015-04-15,5750.0
2015-04-16,5750.0
2015-04-17,5750.0
2015-04-20,5700.0
2015-04-21,5700.0
2015-04-22,5700.0
2015-04-23,5650.0
2015-04-24,5650.0
2015-04-27,5650.0
2015-04-28,5700.0
2015-04-29,5700.0
2015-04-30,5700.0
2015-05-04,5700.0
2015-05-05,5700.0
2015-05-06,5700.0
2015-05-07,5700.0
2015-05-08,5700.0
2015-05-11,5700.0
2015-05-12,5650.0
2015-05-13,5700.0
2015-05-14,5800.0
2015-05-15,5900.0
2015-05-18,5900.0
2015-05-19,5900.0
2015-05-20,5900.0
2015-05-21,5850.0
2015-05-22,5850.0
2015-05-25,5850.0
2015-05-26,5800.0
2015-05-27,5800.0
2015-05-28,5800.0
2015-05-29,5800.0
2015-06-01,5750.0
2015-06-02,5750.0
2015-06-03,5750.0
2015-06-04,5750.0
2015-06-05,5750.0
2015-06-08,5750.0
2015-06-09,5700.0
2015-06-10,5650.0
2015-06-11,5600.0
2015-06-12,5600.0
2015-06-15,5550.0
2015-06-16,5550.0
2015-06-17,5500.0
2015-06-18,5450.0
2015-06-19,5450.0
2015-06-23,5400.0
2015-06-24,5400.0
2015-06-25,5400.0
2015-06-26,5400.0
2015-06-29,5350.0
2015-06-30,5350.0
2015-07-01,5350.0
2015-07-02,5400.0
2015-07-03,5400.0
2015-07-06,5400.0
2015-07-07,5400.0
2015-07-08,5350.0
2015-07-09,5300.0
2015-07-10,5300.0
2015-07-13,5300.0
2015-07-14,5300.0
2015-07-15,5300.0
2015-07-16,5300.0
2015-07-17,5300.0
2015-07-20,5250.0
2015-07-21,5250.0
2015-07-22,5250.0
2015-07-23,5250.0
2015-07-24,5250.0
2015-07-27,5200.0
2015-07-28,5200.0
