日期,华北融指1线性（天津9085）
2015-07-17,9650.0
2015-07-20,9650.0
2015-07-21,9500.0
2015-07-22,9500.0
2015-07-23,9500.0
2015-07-24,9500.0
2015-07-27,9500.0
2015-07-28,9500.0
2015-07-29,9500.0
2015-07-30,9500.0
2015-07-31,9500.0
2015-08-03,9500.0
2015-08-04,9450.0
2015-08-05,9450.0
2015-08-06,9450.0
2015-08-07,9450.0
2015-08-10,9450.0
2015-08-11,9450.0
2015-08-12,9500.0
2015-08-13,9500.0
2015-08-14,9300.0
2015-08-17,9250.0
2015-08-18,9250.0
2015-08-19,9200.0
2015-08-20,9250.0
2015-08-21,9250.0
2015-08-24,9200.0
2015-08-25,9000.0
2015-08-26,9000.0
2015-08-27,9000.0
2015-08-28,9150.0
2015-08-31,9150.0
2015-09-01,9150.0
2015-09-02,9150.0
2015-09-07,9150.0
2015-09-08,9150.0
2015-09-09,9100.0
2015-09-10,9100.0
2015-09-11,9050.0
2015-09-14,9100.0
2015-09-15,9020.0
2015-09-16,8900.0
2015-09-17,9000.0
2015-09-18,8950.0
2015-09-21,8950.0
2015-09-22,8950.0
2015-09-23,8950.0
2015-09-24,8950.0
2015-09-25,8900.0
2015-09-28,8850.0
2015-09-29,8850.0
2015-09-30,8700.0
2015-10-08,8850.0
2015-10-09,8900.0
2015-10-12,9000.0
2015-10-13,9000.0
2015-10-14,9000.0
2015-10-15,9000.0
2015-10-16,8850.0
2015-10-19,8850.0
2015-10-20,8800.0
2015-10-21,8850.0
2015-10-22,8800.0
2015-10-23,8800.0
2015-10-26,8800.0
2015-10-27,8800.0
2015-10-28,8800.0
2015-10-29,8800.0
2015-10-30,8800.0
2015-11-02,8800.0
2015-11-03,8800.0
2015-11-04,8800.0
2015-11-05,8800.0
2015-11-06,8800.0
2015-11-09,8800.0
2015-11-10,8800.0
2015-11-11,8800.0
2015-11-12,8800.0
2015-11-13,8800.0
2015-11-16,8800.0
2015-11-17,8800.0
2015-11-18,8800.0
2015-11-19,8600.0
2015-11-20,8500.0
2015-11-23,8700.0
2015-11-24,8650.0
2015-11-25,8650.0
2015-11-26,8650.0
2015-11-27,8650.0
2015-11-30,8650.0
2015-12-01,8650.0
2015-12-02,8650.0
2015-12-03,8850.0
2015-12-04,8850.0
2015-12-07,8800.0
2015-12-08,8850.0
2015-12-09,8750.0
2015-12-10,8700.0
2015-12-11,8700.0
2015-12-14,8630.0
2015-12-15,8650.0
2015-12-16,8650.0
2015-12-17,8650.0
2015-12-18,8650.0
2015-12-21,8650.0
2015-12-22,8650.0
2015-12-23,8650.0
2015-12-24,8650.0
2015-12-25,8900.0
2015-12-28,8900.0
2015-12-29,8900.0
2015-12-30,8900.0
2015-12-31,8950.0
2016-01-04,9000.0
2016-01-05,8950.0
2016-01-06,8950.0
2016-01-07,9000.0
2016-01-08,8900.0
2016-01-11,8850.0
2016-01-12,8750.0
2016-01-13,8750.0
2016-01-14,8750.0
2016-01-15,8750.0
2016-01-18,8750.0
2016-01-19,8750.0
2016-01-20,8750.0
2016-01-21,8750.0
2016-01-22,8800.0
2016-01-25,8800.0
2016-01-26,8800.0
2016-01-27,8800.0
2016-01-28,8800.0
2016-01-29,8800.0
2016-02-01,8800.0
2016-02-02,8800.0
2016-02-03,8800.0
2016-02-04,8800.0
2016-02-05,8800.0
2016-02-15,8800.0
2016-02-16,8800.0
2016-02-17,8700.0
2016-02-18,8700.0
2016-02-19,8650.0
2016-02-22,8700.0
2016-02-23,8750.0
2016-02-24,8750.0
2016-02-25,8750.0
2016-02-26,8800.0
2016-02-29,8800.0
2016-03-01,8800.0
2016-03-02,8900.0
2016-03-03,8950.0
2016-03-04,9000.0
2016-03-07,9100.0
2016-03-08,9100.0
2016-03-09,8950.0
2016-03-10,9100.0
2016-03-11,8950.0
2016-03-14,8950.0
2016-03-15,8950.0
2016-03-16,9000.0
2016-03-17,9000.0
2016-03-18,9200.0
2016-03-21,9200.0
2016-03-22,9450.0
2016-03-23,9380.0
2016-03-24,9380.0
2016-03-25,9350.0
2016-03-28,9350.0
2016-03-29,9350.0
2016-03-30,9500.0
2016-03-31,9500.0
2016-04-01,9500.0
2016-04-05,9500.0
2016-04-06,9600.0
2016-04-07,9500.0
2016-04-08,9500.0
2016-04-11,9500.0
2016-04-12,9350.0
2016-04-13,9350.0
2016-04-14,9350.0
2016-04-15,9300.0
2016-04-18,9250.0
2016-04-19,9200.0
2016-04-20,9200.0
2016-04-21,9200.0
2016-04-22,9200.0
2016-04-25,9200.0
2016-04-26,9200.0
2016-04-27,9200.0
2016-04-28,9200.0
2016-04-29,9200.0
2016-05-03,8900.0
2016-05-04,9000.0
2016-05-05,8900.0
2016-05-06,8700.0
2016-05-09,8500.0
2016-05-10,8650.0
2016-05-11,8650.0
2016-05-12,8650.0
2016-05-13,8650.0
2016-05-16,8600.0
2016-05-17,8600.0
2016-05-18,8600.0
2016-05-19,8600.0
2016-05-20,8600.0
2016-05-23,8800.0
2016-05-24,8610.0
2016-05-25,8600.0
2016-05-26,8600.0
2016-05-27,8600.0
2016-05-30,8600.0
2016-05-31,8550.0
2016-06-01,8600.0
2016-06-02,8600.0
2016-06-03,8600.0
2016-06-06,8700.0
2016-06-07,8700.0
2016-06-08,8700.0
2016-06-13,8700.0
2016-06-14,8700.0
2016-06-15,8700.0
2016-06-16,8700.0
2016-06-17,8700.0
2016-06-20,8700.0
2016-06-21,8950.0
2016-06-22,8950.0
2016-06-23,8950.0
2016-06-24,8950.0
2016-06-27,9150.0
2016-06-28,9150.0
2016-06-29,9150.0
2016-06-30,9250.0
2016-07-01,9300.0
2016-07-04,9300.0
2016-07-05,9300.0
2016-07-06,9200.0
2016-07-07,9200.0
2016-07-08,9200.0
2016-07-11,9200.0
2016-07-12,9200.0
2016-07-13,9200.0
2016-07-14,9200.0
2016-07-15,9200.0
2016-07-18,9200.0
2016-07-19,9200.0
2016-07-20,9200.0
2016-07-21,9000.0
