,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2017-09-26,-3350.0,1.5979999999999999,0.050043241551939927,1.10063,0.029498000000000003
2017-09-27,-5905.0,1.592095,0.051025566941671194,1.118665,0.0286776
2017-09-28,-2280.0,1.589815,0.04909448583640236,1.076145,0.0
2017-09-29,3570.0,1.593385,0.04475697963768958,0.98023,0.03418065000000001
2017-10-09,-9205.0,1.58418,0.04479326844171748,0.97558,0.04345355
2017-10-10,-6465.0,1.577715,0.046982915165286514,1.020895,0.030228800000000004
2017-10-11,260.0,1.577975,0.046826122086851815,1.017735,0.0499898
2017-10-12,-9420.0,1.568555,0.04775047735017261,1.031775,0.0
2017-10-13,-1925.0,1.56663,0.045943968901399825,0.98946,0.004593400000000001
2017-10-16,-3800.0,1.56283,0.04408867247237384,0.94553,0.0170807
2017-10-17,-1945.0,1.5608849999999999,0.045060142162939625,0.96611,0.015800750000000002
2017-10-18,-1815.0,1.55907,0.045024116941510005,0.964025,0.016961000000000004
2017-10-19,-8635.0,1.550435,0.037627343293978786,0.795225,0.024851750000000002
2017-10-20,5675.0,1.5561099999999999,0.045019182448541556,0.96164,0.023679600000000002
2017-10-23,-2270.0,1.55384,0.04638907480821707,0.99116,0.0210791
2017-10-24,2835.0,1.556675,0.04503383814861805,0.963115,0.0342447
2017-10-25,9130.0,1.5658050000000001,0.04490019510730902,0.965685,0.022337
2017-10-26,1215.0,1.5670199999999999,0.04561588237546426,0.9437,0.07282390000000001
2017-10-27,-4990.0,1.56203,0.044899329718379295,0.96383,0.0938036
2017-10-30,-5670.0,1.55636,0.04932483487110951,1.02076,0.0773564
2017-10-31,5965.0,1.562325,0.04478063143072024,0.96157,0.04293485
2017-11-01,5650.0,1.5679750000000001,0.045852197898563436,0.98823,0.019891200000000005
2017-11-02,4125.0,1.5721,0.04585513008078367,0.990455,0.0576016
2017-11-03,445.0,1.5725449999999999,0.04112251159744236,0.8847,0.017068100000000003
2017-11-06,8985.0,1.5815299999999999,0.04860473718487794,1.057755,0.0479108
2017-11-07,1710.0,1.58324,0.04149187741593189,0.89848,0.03213665
2017-11-08,5350.0,1.58859,0.044394085320944986,0.968,0.025458300000000003
2017-11-09,-1390.0,1.5872000000000002,0.04441828377016129,0.96771,0.0157122
2017-11-10,4685.0,1.591885,0.04301268621791147,0.938575,0.012208700000000001
2017-11-13,-4990.0,1.586895,0.04879361898550314,1.065705,0.0272797
2017-11-14,4335.0,1.59123,0.04902327130584517,1.07409,0.0415828
2017-11-15,3575.0,1.594805,0.04762290687576224,1.047075,0.013891500000000001
2017-11-16,1625.0,1.59643,0.0474580156975251,1.04442,0.0307006
2017-11-17,-5645.0,1.590785,0.045091668578720566,0.986745,0.0383159
2017-11-20,7930.0,1.5987149999999999,0.04817497177420616,1.062015,0.021518
2017-11-21,1175.0,1.59989,0.048639562719937,1.073585,0.05643715
2017-11-22,-3260.0,1.59663,0.04937797110163282,1.088005,0.034454
2017-11-23,-2370.0,1.59426,0.05040338464240463,1.10873,0.03455865
2017-11-24,-6940.0,1.58732,0.051121323992641694,1.11967,0.017382400000000003
2017-11-27,3830.0,1.5911499999999998,0.044476133614052726,0.97266,0.025300800000000002
2017-11-28,2830.0,1.59398,0.0414186501712694,0.94315,0.044911599999999996
2017-11-29,4005.0,1.597985,0.03973960957080323,0.86659,0.05370295
2017-11-30,-3420.0,1.594565,0.04699388234408757,1.03074,0.0264243
2017-12-01,-9780.0,1.584785,0.04815239922134549,1.04866,0.012369000000000002
2017-12-04,4850.0,1.589635,0.048879711380285414,1.06737,0.0
2017-12-05,3335.0,1.59297,0.03753783812626729,0.812195,0.03326400000000001
2017-12-06,-7225.0,1.585745,0.0461636328665706,1.004825,0.042673050000000004
2017-12-07,440.0,1.586185,0.03972474837424386,0.86024,0.03709965000000001
2017-12-08,-4945.0,1.58124,0.051662903797020064,1.126835,0.0170807
